company,srn,address,city,zip_code,pti_no.,approved,notes
"LAMBDA ENERGY RESOURCES, LLC",P0185,BEAUDAIN ROAD - KRUEGERAND CPF,HILLMAN,49746,230-10,1/28/2011,
"RIVERSIDE ENERGY MICHIGAN, LLC",P0387,"SW SW NE SEC 21, T31N, R3E - HILLBILLY",HILLMAN,49746,160-12,11/1/2012,
"RIVERSIDE ENERGY MICHIGAN, LLC",N7467,"SEC 34, T31N, R3E",HILLMAN TOWNSHIP,49709,238-05,3/30/2006,
"RIVERSIDE ENERGY MICHIGAN, LLC",N8257,X-REA,HILLMAN TOWNSHIP,49746,78-09,5/21/2009,
"RIVERSIDE ENERGY MICHIGAN, LLC",P0037,MILLER CREEK CPF,HILLMAN TOWNSHIP,49746,16-10,2/11/2010,
"LAMBDA ENERGY RESOURCES, LLC",N5936,BLUE LAKE ROAD - LOUD 29,LEWISTON,49736,236-01A,5/10/2006,
SWEPI,N5936,BLUE LAKES ROAD,LEWISTON,49756,97-98,8/5/1999,
"LAMBDA ENERGY RESOURCES, LLC",N6609,NW NW SEC 16 - ALBERT 16,LEWISTON,49746,213-07,8/14/2007,
"RIVERSIDE ENERGY MICHIGAN, LLC",N6157,"NE 1/4 NE 1/4 SW 1/4 SEC 13, T29N, R3E -",LOUD TOWNSHIP,49709,716-96B,5/7/2015,
"RIVERSIDE ENERGY MICHIGAN, LLC",N8213,SE 1/4 NW 1/4 SEC 19 - UNIT 172 BOOSTER,LOUD TOWNSHIP,49746,396-08,2/9/2009,
"RIVERSIDE ENERGY MICHIGAN, LLC",N8216,"NW 1/4 NW 1/4 SEC 23, T29N, R03E - UNIT",LOUD TOWNSHIP,49709,399-08,2/9/2009,
"RIVIERA OPERATING, LLC",P0894,"SE 1/4 NE 1/4 SEC 9, T29N, R3E",LOUD TOWNSHIP,49709,11-18,3/2/2018,
"HRF PRODUCTION & EXPLORATION, INC",N7252,"SW SE NW SEC 15, T29N, R4E - TLC 20",RUST TOWNSHIP,49707,104-03A,1/21/2011,
"RIVERSIDE ENERGY MICHIGAN, LLC",N7826,SE NW SEC 10 - S RUST B2-10 / WEBBER,RUST TOWNSHIP,49709,15-21,5/7/2021,
"JORDAN DEVELOPMENT COMPANY, LLC",P0096,SE SE NE SEC 5,RUST TOWNSHIP,49709,83-10,4/30/2010,
"RIVERSIDE ENERGY MICHIGAN, LLC",N8217,"SW 1/4 NW 1/4 SEC 34, T30N, R02E - UNIT",SOUTH BRILEY,49709,394-08,2/9/2009,
"JORDAN DEVELOPMENT COMPANY, LLC",N6103,"NE SE SEC 19, T31N, R1E - VIENNA 2",VIENNA TOWNSHIP,49756,661-96B,9/19/2013,
TRENDWELL ENERGY CORPORATION,N6142,"SE NW NW SEC 20, T30N, R1E - VIENNA 20",VIENNA TOWNSHIP,49756,700-96B,2/7/2012,
TRENDWELL ENERGY CORPORATION,N6148,"NE NW NE SEC 16, T30N, R1E",VIENNA TOWNSHIP,49756,706-96A,8/13/2007,
TRENDWELL ENERGY CORPORATION,N6150,"NW NE SE SEC 31, T30N, R1E",VIENNA TOWNSHIP,49756,708-96B,12/15/2011,
"VCP MICHIGAN, LLC",N7190,NW NE SW SEC 7,VIENNA TOWNSHIP,49751,226-02B,5/15/2018,
"VCP MICHIGAN, LLC",N7190,NW NE SW SEC 7 - VIENNA 6-7,VIENNA TOWNSHIP,49751,165-20,1/22/2021,
"JORDAN DEVELOPMENT COMPANY, LLC",N7876,NW SE NE SEC 36,VIENNA TOWNSHIP,49709,315-07,12/3/2007,
"RIVERSIDE ENERGY MICHIGAN, LLC",P0039,VIENNA 14 CPF,VIENNA TOWNSHIP,49709,18-10,2/1/2010,
"RIVERSIDE ENERGY MICHIGAN, LLC",P0042,VIENNA 23 CPF,VIENNA TOWNSHIP,49709,195-18,1/15/2019,Revised
"CHEMOURS COMPANY FC, LLC",B1914,6270 WILKES ROAD,MONTAGUE,49437,190-07,7/11/2007,
"ALUDYNE MONTAGUE, LLC",B1925,5353 WILCOX STREET,MONTAGUE,49437,41-00F,2/2/2021,
"WHITEHALL PRODUCTS, LTD",B5169,8786 WATER STREET,MONTAGUE,49437,142-07,6/20/2007,
MASTERTAG,N3079,9350 WALSH ROAD,MONTAGUE,49437,85-08A,6/14/2010,
EAGLE ALUMINUM CAST PRODUCTS,A4238,664 W CLAY AVENUE,MUSKEGON,49443,190-08A,3/7/2013,
KAYDON CORPORATION,A4279,2860 MCCRACKEN STREET,MUSKEGON,49443,172-97A,8/17/2006,
"LORIN INDUSTRIES, INC",A4285,1960 S ROBERTS STREET,MUSKEGON,49443,111-97,4/4/1997,
CANNON MUSKEGON CORPORATION,A4315,2875 LINCOLN STREET,MUSKEGON,49441,374-89B,8/29/2012,
CWC TEXTRON,B1909,1085 W SHERMAN BLVD,MUSKEGON,49441,33-07,2/12/2007,Rolled into ROP
CWC TEXTRON,B1909,1085 W SHERMAN BLVD,MUSKEGON,49441,139-14,1/6/2015,Rolled into ROP
CWC TEXTRON,B1909,1085 W SHERMAN BLVD,MUSKEGON,49441,69-21,9/20/2021,
TEXTRON AUTOMOTIVE COMPANY,B1909,1085 W SHERMAN BLVD - CWC DIVISION,MUSKEGON,49441,228-03,11/12/2003,Rolled into ROP
L-3 COMMUNICATIONS CORPORATION,B1912,76 GETTY STREET - COMBAT PROPULSION,MUSKEGON,49442,161-08,8/7/2008,
WEST MICHIGAN STEEL FOUNDRY,B1929,1148 W WESTERN AVENUE,MUSKEGON,49441,259-98,8/12/1998,
"HOLLAND USA, INC - MUSKEGON",B4300,1950 INDUSTRIAL BLVD,MUSKEGON,49443,6-02,3/28/2002,
"AMERICAN CHEMICAL SOLUTIONS, LLC",B4302,2406 ROBERTS STREET,MUSKEGON,49444,17-19,4/24/2019,
HONEYWELL INTERNATIONAL (BURDICK &,B4303,1953 S HARVEY STREET,MUSKEGON,49442,76-05C,8/4/2020,
MUSKEGON COMPOSITES,B5022,1355 W SHERMAN BLVD,MUSKEGON,49441,183-07D,12/9/2019,
SUN CHEMICAL CORPORATION,B5966,4925 EVANSTON AVENUE,MUSKEGON,49442,1058-84D,5/17/2013,
SUN CHEMICAL CORPORATION,B5966,4925 EVANSTON AVENUE,MUSKEGON,49442,153-13,4/28/2014,
SUN CHEMICAL CORPORATION,B5966,4925 EVANSTON AVENUE,MUSKEGON,49442,155-13,4/28/2014,
SUN CHEMICAL CORPORATION,B5966,4925 EVANSTON AVENUE,MUSKEGON,49442,156-13A,10/16/2015,
ADAC AUTOMOTIVE,B6528,2050 PORT CITY BLVD - MUSKEGON,MUSKEGON,49442,2-12,2/22/2012,
GREAT LAKES DIE CAST CORPORATION,B6635,1806 BEIDLER STREET,MUSKEGON,49441,265-96A,12/19/2000,
BASF CORPORATION,B6643,1740 WHITEHALL ROAD,MUSKEGON,49445,304-87B,12/22/2008,
BASF CORPORATION,B6643,1740 WHITEHALL ROAD,MUSKEGON,49445,84-96C,12/15/2014,
PORT CITY DIECAST COMPANY,B7175,2121 LATIMER DRIVE,MUSKEGON,49442,175-12C,9/12/2017,
"EAGLE ALLOY, INC",B7870,5142 EVANSTON AVENUE,MUSKEGON,49442,95-01G,7/27/2018,
"MPLX TERMINALS, LLC",B9072,3005 HOLTON ROAD - NORTH MUSKEGON,MUSKEGON,49445,303-01A,5/30/2007,
JONES ELECTRIC COMPANY,F7434,1965 SANFORD STREET,MUSKEGON,49441,197-05,8/2/2005,General PTI
MERCY GENERAL HEALTH PARTNER,M0037,1500 E SHERMAN BLVD,MUSKEGON,49443,20-06,4/5/2006,
WEST MICHIGAN CREMATORY,M4227,1600 CRESTON STREET,MUSKEGON,49442,152-11A,7/13/2012,
WEST MICHIGAN CREMATORY,M4227,1600 CRESTON STREET,MUSKEGON,49442,149-16,9/30/2016,
STRUCTURAL CONCEPTS CORPORATION,N3057,888 E PORTER ROAD,MUSKEGON,49441,296-83C,4/18/2019,
TRI-STATE ALUMINUM CASTINGS,N5087,1060 E KEATING AVENUE,MUSKEGON,49442,234-08,10/1/2008,
"GRIFFON, INC",N5330,820 S BROTON ROAD,MUSKEGON,49442,481-94A,2/15/2006,
PORT CITY CUSTOM PLASTICS,N5522,1985 E LAKETON AVENUE,MUSKEGON,49442,97-15,5/28/2015,
INDUSTRIAL METAL CLEANING COMPANY,N5995,1165 N GATEWAY BLVD,MUSKEGON,49441,88-11,9/27/2011,
"NON-FERROUS CAST ALLOYS, INC",N6561,1146 N GATEWAY BLVD,MUSKEGON,49441,28-99E,1/30/2015,
CUSTOM CRUSHING LAKESHORE,N6861,951 E BARNEY AVENUE,MUSKEGON,49444,176-11,2/15/2012,
PORT CITY GROUP - MUSKEGON,N7207,2325 S SHERIDAN ROAD,MUSKEGON,49442,107-09,5/28/2009,
ALLOY RESOURCE CORPORATION,N7888,2281 PORT CITY BLVD,MUSKEGON,49942,340-07A,12/18/2009,
ALLOY RESOURCE CORPORATION,N7888,2281 PORT CITY BLVD,MUSKEGON,49942,340-07E,5/11/2016,
MUSKEGON COUNTY WASTEWATER,N7978,634 OTTAWA AVENUE,MUSKEGON,49442,41-08,2/25/2008,
ADMIRAL PETROLEUM COMPANY,N8169,11 E MUSKEGON AVENUE,MUSKEGON,49442,330-08,10/15/2008,General PTI
BOLD COMPANIES,N8204,2291 OLTHOFF DRIVE,MUSKEGON,49445,380-08,12/23/2008,
"GEOCYCLE, LLC",N8267,4365 EVANSTON AVENUE,MUSKEGON,49422,183-14,12/4/2014,
"EAGLE ALUMINUM CAST PRODUCTS, INC",P0319,2134 NORTHWOODS DRIVE,MUSKEGON,49442,30-12A,10/17/2014,
SYTSEMA CREMATION SERVICES,P0600,773 E APPLE AVENUE,MUSKEGON,49442,53-15,4/30/2015,
MICHIGAN DEPT OF CORRECTIONS,P0625,2400 S SHERIDAN DRIVE - MUSKEGON,MUSKEGON,49442,133-15,9/8/2015,
"MELCHING, INC",P0791,2051 HARVEY STREET,MUSKEGON,49444,196-18,12/21/2018,
"LUKAZCEK EXCAVATING & DRAINAGE, LLC",P0820,2400 LAKESHORE DRIVE,MUSKEGON,49441,82-17,5/31/2017,
CUSTOM CRUSHING & RECYCLE,P1252,101 S GETTY STREET,MUSKEGON,49442,10-22,2/1/2022,General PTI
"MAHLE INDUSTRIES, INC",A4302,2020 SANFORD STREET,MUSKEGON HEIGHTS,49444,256-10,1/11/2011,Rolled into ROP
WEBB CHEMICAL SERVICE CORPORATION,N1952,2708 JARMAN STREET,MUSKEGON HEIGHTS,49444,543-88C,3/6/2018,
"CENTURY FOUNDRY, INC",N7027,339 W HOVEY AVENUE,MUSKEGON HEIGHTS,49444,43-05C,7/26/2019,
"PHOENIX CREMATORY SERVICES, LLC",N7554,525 W HUME AVENUE,MUSKEGON HEIGHTS,49444,319-05A,2/8/2011,
"CENTURY FOUNDRY, INC",N7714,2524 PARK STREET,MUSKEGON HEIGHTS,49444,164-19,3/6/2020,
"BEVERAGE PARTS SOURCE, LLC",N7894,2701 MCILWRAITH STREET,MUSKEGON HEIGHTS,49444,344-07,10/25/2007,General PTI
BLARNEY CASTLE OIL COMPANY,P0630,1390 WHITEHALL ROAD,NORTH MUSKEGON,49445,145-15,8/3/2015,General PTI
"KNOLL, INC",N1757,2800 ESTES STREET,NORTON SHORES,49941,215-16,2/14/2017,
PORT CITY CASTING CORPORATION,N7198,711 E PORTER ROAD,NORTON SHORES,49441,222-02,11/20/2002,
"M ARGUESO & COMPANY, INC dba",N7764,2817 MCCRACKEN STREET,NORTON SHORES,49441,57-07D,5/14/2021,
"SPEEDWAY SUPERAMERICA, LLC",N8091,6582 GRAND HAVEN ROAD - SSA #6303,NORTON SHORES,49441,225-08,8/13/2008,General PTI
"ROGERS PRINTING, INC",A4216,3350 MAIN STREET,RAVENNA,49451,114-01D,5/9/2016,
"CASTING SPECIALTIES, INC",A4300,2600 S SLOCUM ROAD,RAVENNA,49451,92-03,9/15/2003,
"METAL TECHNOLOGIES, INC",N5866,3800 ADAMS ROAD - RAVENNA DUCTILE,RAVENNA,49451,99-12,7/30/2012,Rolled into ROP
"METAL TECHNOLOGIES, INC",N5866,3800 ADAMS ROAD - RAVENNA DUCTILE,RAVENNA,49451,17-15,4/29/2015,Rolled into ROP
"METAL TECHNOLOGIES, INC",N5866,3800 ADAMS ROAD - RAVENNA DUCTILE,RAVENNA,49451,17-15A,9/11/2015,Rolled into ROP
RAVENNA CASTINGS CENTER,N5866,3800 ADAMS ROAD,RAVENNA,49451,418-95A,4/4/2000,Rolled into ROP
RAVENNA CASTINGS CENTER,N5866,3800 ADAMS ROAD,RAVENNA,49451,414-95A,4/4/2000,Rolled into ROP
RAVENNA CASTINGS CENTER,N5866,3800 ADAMS ROAD,RAVENNA,49451,416-95B,4/4/2000,Rolled into ROP
"SPEEDWAY SUPERAMERICA, LLC",N8320,2797 HENRY STREET - SSA #6297,ROOSEVELT PARK,49441,205-09,9/3/2009,General PTI
"NUGENT SAND COMPANY, INC",N7270,4912 RUSSELL ROAD,TWIN LAKE,49445,279-04A,11/29/2011,
HOWMET CORPORATION,B1889,1 MISCO DRIVE - PLANTS 1 & 3,WHITEHALL,49461,125-14B,12/15/2020,
HOWMET CORPORATION,B1891,555 BENSTON ROAD - PLANT 4,WHITEHALL,49461,30-06D,10/4/2017,
HOWMET CORPORATION,B8723,"1600 S WARNER STREET - HRC, PLANTS 5",WHITEHALL,49461,63-06A,1/23/2020,
NORTH AMERICAN NATURAL,N3893,3278 E COLBY STREET,WHITEHALL,49461,27-01,3/29/2001,
"WHITE LAKE EXCAVATING, INC",P0094,2571 HOLTON WHITEHALL ROAD,WHITEHALL,49461,92-10,4/13/2010,General PTI
GERBER PRODUCTS COMPANY,A4338,405 STATE STREET,FREMONT,49413,45-14B,8/19/2019,
"PARKER EXCAVATING, GRAVEL &",N6851,805 OAK ROAD,FREMONT,49412,95-18,6/8/2018,
"GENERATE FREMONT DIGESTER, LLC",N8210,1634 LOCUST STREET,FREMONT,49412,378-08B,1/25/2021,
"SPEEDWAY SUPERAMERICA, LLC",P0322,9 S MAPLE STREET - SSA #6309,GRANT,49327,33-12,3/14/2012,General PTI
WILBUR-ELLIS COMPANY,P1093,277 S MAPLE STREET,MORENCI,48001,185-19,9/4/2020,
"SANDMOLD SYSTEM, INC",F8470,313 W STATE ROAD,NEWAYGO,49337,146-12,9/17/2012,General PTI
DONNELLY CORPORATION,N5056,700 S PARK DRIVE,NEWAYGO,49337,450-93B,11/28/2000,Rolled into ROP
MAGNA DONNELLY CORPORATION,N5056,700 S PARK DRIVE,NEWAYGO,49337,450-93C,12/18/2006,Rolled into ROP
MAGNA DONNELLY CORPORATION,N5056,700 S PARK DRIVE,NEWAYGO,49937,450-93D,2/26/2007,Rolled into ROP
MAGNA MIRRORS CORPORATION,N5056,700 S PARK DRIVE,NEWAYGO,49337,450-93F,10/7/2010,Rolled into ROP
MAGNA MIRRORS CORPORATION,N5056,700 S PARK DRIVE,NEWAYGO,49337,450-93G,5/18/2011,Rolled into ROP
"HARBISONWALKER INTERNATIONAL, INC",B5777,1301 E 8TH STREET,WHITE CLOUD,49349,24-10A,5/25/2016,
NORTH AMERICAN REFRACTORIES,B5777,1301 E 8TH STREET,WHITE CLOUD,49349,184-07A,10/1/2012,
ANR PIPELINE COMPANY,N5576,6759 E 5 MILE ROAD - GOODWILL,WHITE CLOUD,49349,317-06,1/19/2007,Rolled into ROP
ANR PIPELINE COMPANY,N5576,6759 E 5 MILE ROAD - GOODWILL,WHITE CLOUD,49349,317-06A,3/11/2008,Rolled into ROP
ANR PIPELINE COMPANY,N5576,6759 E 5 MILE ROAD,WHITE CLOUD,49349,317-06B,1/19/2021,Rolled into ROP
NEWAYGO COUNTY ANIMAL CONTROL,N7126,78 N WEBSTER STREET,WHITE CLOUD,49349,238-06,11/9/2006,
"BENTECK, INC",N8272,19 N CHARLES STREET,WHITE CLOUD,49349,119-11A,8/15/2017,
AJAX MATERIALS CORPORATION,B1956,4875 BALD MOUNTAIN ROAD,AUBURN HILLS,48326,11-87C,3/8/2005,
DAIMLERCHRYSLER CORPORATION,N1436,800 CHRYSLER DRIVE,AUBURN HILLS,48326,633-86E,5/15/2000,Rolled into ROP
DAIMLERCHRYSLER CORPORATION,N1436,800 CHRYSLER DRIVE,AUBURN HILLS,48326,258-91B,1/8/2001,Rolled into ROP
DAIMLERCHRYSLER CORPORATION,N1436,800 CHRYSLER DRIVE,AUBURN HILLS,48326,405-95D,7/19/2001,Rolled into ROP
FCA US TECHNOLOGY CENTER,N1436,800 CHRYSLER DRIVE - 482-00-51,AUBURN HILLS,48326,155-18,3/22/2019,
"FCA US, LLC",N1436,800 CHRYSLER DRIVE,AUBURN HILLS,48326,405-95E,11/19/2002,Rolled into ROP
MAHINDRA AUTOMOTIVE NORTH AMERICA,N1489,275 REX BLVD,AUBURN HILLS,48326,58-18,4/11/2018,General PTI
"INALFA ROOF SYSTEMS, INC",N2332,1370 PACIFIC DRIVE,AUBURN HILLS,48326,245-04,10/26/2004,
CONTINENTAL AUTOMOTIVE SYSTEMS,N2674,2400 EXECUTIVE HILLS DRIVE,AUBURN HILLS,48326,147-11,11/29/2011,
TRIALON CORPORATION,N2721,3000 UNIVERSITY DRIVE - CUSTOMER,AUBURN HILLS,48326,305-08A,9/15/2011,
"STATE CRUSHING, INC",N3171,2260 AUBURN ROAD,AUBURN HILLS,48326,8-16A,7/27/2018,
"JABIL CIRCUIT, INC",N3622,1700 ATLANTIC BLVD,AUBURN HILLS,48326,639-92C,1/16/2001,
HEWLETT-PACKARD ENTERPRISE,N5490,885 W ENTRANCE DRIVE,AUBURN HILLS,48326,11-11,3/29/2011,
"FCA US, LLC",N5505,1035 W ENTRANCE DRIVE,AUBURN HILLS,48326,199-10A,7/14/2011,
DETROIT WILBERT CREMATION,N5507,70 S SQUIRREL ROAD - UNIT M,AUBURN HILLS,48326,160-95A,2/7/2007,
GEORGE P JOHNSON COMPANY,N5771,3600 GIDDINGS ROAD,AUBURN HILLS,48326,81-96D,1/24/2011,
"OAKLAND HEIGHTS DEVELOPMENT, INC",N6008,2350 BROWN ROAD,AUBURN HILLS,48326,11-15,2/27/2015,Rolled into ROP
"OAKLAND HEIGHTS DEVELOPMENT, INC",N6008,2350 BROWN ROAD,AUBURN HILLS,48326,117-16A,3/25/2019,Rolled into ROP
"JABIL CIRCUIT, INC",N6867,3800 GIDDINGS ROAD,AUBURN HILLS,48326,283-00A,5/2/2012,
DUTTON CORPORATE CENTRE,N7339,4430 LAPEER ROAD,AUBURN HILLS,48326,67-04,4/7/2004,
DUTTON CORPORATE CENTRE,N7339,4430 LAPEER ROAD,AUBURN HILLS,48326,281-04,6/8/2005,
"FEV, INC",N7460,4554 GLENMEADE LANE,AUBURN HILLS,48326,92-05D,5/9/2011,
G & M BUILDING COMPANY,N7741,1751 HARMON ROAD,AUBURN HILLS,48326,367-06,12/28/2006,
"DIVERSIFIED FUELS PROPERTIES, LLC",N7796,810 OPDYKE ROAD,AUBURN HILLS,48326,152-07,5/2/2007,General PTI
"UMICORE AUTOSTAT USA, INC",N7864,2347 COMMERCIAL DRIVE,AUBURN HILLS,48326,300-07B,11/30/2015,
PREFIX,P0328,3500 JOSLYN ROAD,AUBURN HILLS,48326,40-12,3/14/2012,General PTI
PREFIX,P0328,3500 JOSLYN ROAD,AUBURN HILLS,48326,128-16B,3/20/2020,
"DOKKA FASTENERS, INC",P0347,2800 SUPERIOR COURT,AUBURN HILLS,48326,64-12,7/25/2012,
"BONSAL AMERICAN, INC",P0430,2280 AUBURN ROAD,AUBURN HILLS,48326,47-13,6/13/2013,
"SHANNON PRECISION FASTENERS, LLC",P0565,4425 PURKS ROAD,AUBURN HILLS,48326,177-14A,9/17/2015,
"CONTINENTAL AUTOMOTIVE SYSTEMS,",P0913,1 CONTINENTAL DRIVE,AUBURN HILLS,48326,61-18,6/25/2018,
INCOE CORPORATION,P0924,2850 HIGH MEADOW CIRCLE,AUBURN HILLS,48326,96-18,6/28/2018,
CRANBROOK EDUCATIONAL COMMUNITY,N2281,39221 WOODWARD AVENUE,BLOOMFIELD HILLS,48304,114-15,6/25/2015,
GREAT LAKES WATER AUTHORITY,N6621,6201 ADAMS ROAD - ADAMS ROAD,BLOOMFIELD HILLS,48013,231-99B,12/1/2008,
"KIMBERLY LIGHTING, LLC",A4420,5827 TEREX DRIVE,CLARKSTON,48346,101-18,6/18/2018,
"CADILLAC ASPHALT, LLC",B4287,4751 WHITE LAKE ROAD,CLARKSTON,48346,443-82H,11/14/2006,
"ATC ASSOCIATES, INC",N7666,6550 DIXIE HIGHWAY,CLARKSTON,48346,229-06,9/11/2006,General PTI
LOYAL PAWS CREMATORY & MEMORIAL,P0588,3779 S ORTONVILLE ROAD,CLARKSTON,48348,20-15,3/18/2015,
LOYAL PAWS CREMATORY & MEMORIAL,P0588,3779 S ORTONVILLE ROAD,CLARKSTON,48348,199-15,11/19/2015,
LOYAL PAWS CREMATORY & MEMORIAL,P0588,3779 S ORTONVILLE ROAD,CLARKSTON,48348,66-20,7/2/2020,
"N D INDUSTRIES, INC",N6577,1000 N CROOKS ROAD,CLAWSON,48017,72-99C,9/5/2008,
ARMALY BRANDS,P0956,2005 EASY STREET,COMMERCE,48390,153-18,2/11/2019,
HURON VALLEY SINAI HOSPITAL,M4232,1 WILLIAM CARLS DRIVE,COMMERCE TOWNSHIP,48382,162-06,6/5/2006,General PTI
ARMALY BRANDS,N3409,1900 EASY STREET,COMMERCE TOWNSHIP,48390,307-92A,5/15/2007,Revised
LAKESIDE ANIMAL MEDICAL CENTER,N7497,2645 UNION LAKE ROAD,COMMERCE TOWNSHIP,48382,168-05,8/11/2005,
HOLLY SAND & GRAVEL,N5347,16240 TINDALL ROAD,DAVISBURG,48350,468-94C,9/30/1999,General PTI
ACE ASPHALT & PAVING COMPANY,N5403,16255 TINDALL ROAD,DAVISBURG,48374,194-85I,4/13/2006,
BURROUGHS MATERIALS COMPANY,P0801,16240 TINDALL ROAD,DAVISBURG,48350,43-17,3/13/2017,General PTI
"FENDT BUILDER'S SUPPLY, INC",F9158,22005 GILL ROAD,FARMINGTON,48335,244-98B,4/5/2021,
EXOTIC RUBBER & PLASTICS,N0007,34700 GRAND RIVER AVENUE,FARMINGTON,48335,49-08A,1/24/2014,
BEAUMONT HOSPITAL,K2729,28050 GRAND RIVER AVENUE,FARMINGTON HILLS,48336,17-18,7/27/2018,
ROBERT BOSCH CORPORATION,N5582,38000 HILLS TECH DRIVE,FARMINGTON HILLS,48331,259-05A,7/25/2007,Revised
"SPECIALTY STEEL TREATING, INC",N6650,31610 W 8 MILE ROAD,FARMINGTON HILLS,48336,20-01,1/9/2001,General PTI
"SPECIALTY STEEL TREATING, INC",N6650,31610 W 8 MILE ROAD,FARMINGTON HILLS,48336,64-14A,6/2/2016,
MIDWEST THERMAL SPRAY,N7571,23164 COMMERCE DIRVE,FARMINGTON HILLS,48335,27-06,2/13/2006,
NISSAN TECHNICAL CENTER NORTH,N7727,39001 SUNRISE DRIVE,FARMINGTON HILLS,48331,343-06,12/5/2006,
MCPHERSON OIL COMPANY,N7804,27730 ORCHARD LAKE ROAD,FARMINGTON HILLS,48334,167-07,5/10/2007,General PTI
SUNGARD AVAILABILITY SERVICES LP,P0121,37890 INTERCHANGE DRIVE,FARMINGTON HILLS,48335,126-10,6/17/2010,General PTI
"ETERON, INC",P0293,23944 FREEWAY PARK DRIVE,FARMINGTON HILLS,48335,9-12,1/17/2012,General PTI
"JVIS FH, LLC",P0293,23944 FREEWAY PARK DRIVE,FARMINGTON HILLS,48335,90-14D,6/17/2019,
"STATE FABRICATORS, INC",P0301,30550 W 8 MILE ROAD,FARMINGTON HILLS,48336,1416-91A,5/31/2016,
"MACDERMID, INC",A9805,1221 FARROW STREET,FERNDALE,48220,614-86E,2/22/2002,
"MACDERMID, INC",A9805,1221 FARROW AVENUE,FERNDALE,48220,73-02A,2/19/2003,
"MACDERMID, INC",A9805,1221 FARROW AVENUE,FERNDALE,48220,61-04,7/1/2004,
"MACDERMID, INC",A9805,1221 FARROW AVENUE,FERNDALE,48220,62-04,7/1/2004,
GAGE PRODUCTS COMPANY,N0842,625 WANDA AVENUE,FERNDALE,48220,64-18B,5/30/2019,
"SPRAYTEK, INC",N0917,2535 WOLCOTT STREET,FERNDALE,48220,143-04C,5/23/2016,
"REICHHOLD CHEMICALS, INC",N6447,707 WOODWARD HEIGHTS BLVD,FERNDALE,48220,24-03,9/16/2003,
K C JONES PLATING COMPANY,B7773,321 W 10 MILE ROAD,HAZEL PARK,48030,109-99A,9/3/2004,
K C JONES PLATING COMPANY,B7773,321 W 10 MILE ROAD,HAZEL PARK,48030,2-18,4/4/2018,
AVANCEZ HIGHLAND PARK,P1217,1430 E 10 MILE ROAD,HAZEL PARK,48030,67-21,9/14/2021,
"AMERICAN AGGREGATES OF MICHIGAN,",N6023,6454 N HICKORY RIDGE ROAD,HIGHLAND,48442,409-97,9/29/1999,General PTI
COMMERCIAL FABRICATING & ENG,N7051,1459 ENERGY WAY,HIGHLAND,48357,85-02,4/10/2002,General PTI
"CARDINAL HEALTH, INC",N8059,2675 S MILFORD ROAD - SUITE B,HIGHLAND,48357,172-08,8/5/2008,
EGLE RRD SE MICHIGAN DISTRICT,P1154,3542 N DUCK LAKE ROAD,HIGHLAND,48356,148-20,11/24/2020,General PTI
VECTOR PIPELINE LP,N6838,HIGHLAND COMPRESSOR STATION,HIGHLAND TOWNSHIP,48356,166-00A,3/26/2002,Rolled into ROP
VECTOR PIPELINE LP,N6838,2282 S DUCK LAKE ROAD,HIGHLAND TOWNSHIP,48356,221-04,12/20/2004,Rolled into ROP
QUIKRETE-FLINT,B1945,14311 CMI DRIVE,HOLLY,48442,530-96G,6/28/2021,
DELTA TUBE & FABRICATING,B6488,4149 GRANGE HALL ROAD,HOLLY,48442,28-16,2/19/2016,General PTI
SC ENVIRONMENTAL SERVICES,P0951,12166 DIXIE HIGHWAY,HOLLY,48001,38-19,2/26/2019,General PTI
COMPLETE FILTRATION,N2070,1776 W CLARKSTON ROAD,LAKE ORION,48362,172-18,11/27/2018,
KAY AUTOMOTIVE GRAPHICS AND KPMF,N2702,57 KAY INDUSTRIAL DRIVE,LAKE ORION,48359,46-13,5/17/2013,
KAY AUTOMOTIVE GRAPHICS AND KPMF,N2702,57 KAY INDUSTRIAL DRIVE,LAKE ORION,48359,305-05J,12/21/2016,
ODYSSEY INDUSTRIES,N2723,3020 INDIANWOOD ROAD,LAKE ORION,48362,161-16,5/30/2017,
"LYMTAL INTERNATIONAL, INC",N3417,4150 S LAPEER ROAD,LAKE ORION,48359,1306-91D,8/25/2015,
OAKLAND COUNTY ROAD COMMISSIONER,N6871,1100 S LAPEER ROAD,LAKE ORION,48035,305-00,9/18/2000,General PTI
"WEBER SAND & GRAVEL, INC",N7028,1401 E SILVERBELL ROAD,LAKE ORION,48360,307-01,10/10/2001,General PTI
MILOSCH'S PALACE COLLISION CENTER,P0733,4800 S LAPEER ROAD,LAKE ORION,48001,44-19,3/13/2019,
KELLY OIL & GAS COMPANY,N6184,"SEC 9, T01N, R07E",LYON TOWNSHIP,48165,738-96,3/7/1997,
"LOWE'S HOME CENTERS, INC",N8144,30547 LYON CENTER DRIVE EAST,LYON TOWNSHIP,48165,279-08,9/29/2008,General PTI
"EMERALD STEEL PROCESSING, LLC",A4744,31624 STEPHENSON HIGHWAY,MADISON HEIGHTS,48071,1316-90C,12/7/2012,
"INDUCTOHEAT, INC",A5159,32251 N AVIS DRIVE,MADISON HEIGHTS,48071,5-06,1/10/2006,General PTI
"HOWARD FINISHING, LLC",B2363,32565 DEQUINDRE ROAD,MADISON HEIGHTS,48071,186-08,8/8/2008,Rolled into ROP
